ID,QUESTION,CLASS,ANSWER,Answerfirstsent,AnswerAdjectives,AnswerNouns,AnswerEntities,QuestionsAdjectives,QuestionsNouns,QuestionsEntities
220,Diabetes Drugs: what are Alpha-glucosidase inhibitors?,management,"Alpha-glucosidase inhibitors such as acarbose (marketed as Precose or Glucobay) or miglitol (branded as Glyset) are drugs for type 2 diabetes which slow down the digestion of carbohydrates in the small intestine and therefore can help to reduce after meal blood sugar levels.""","alpha-glucosidase inhibitors such as acarbose (marketed as precose or glucobay) or miglitol (branded as glyset) are drugs for type 2 diabetes which slow down the digestion of carbohydrates in the small intestine and therefore can help to reduce after meal blood sugar levels.""","['such', 'small']","['alpha', 'glucosidase', 'inhibitors', 'acarbose', 'precose', 'glucobay', 'miglitol', 'drugs', 'type', 'diabetes', 'digestion', 'carbohydrates', 'intestine', 'meal', 'blood', 'sugar', 'levels.']","['alpha-glucosidase', 'acarbose', 'drugs', 'precose', 'miglitol', 'diabetes', 'digestion', 'glyset', 'blood sugar', 'carbohydrates', 'intestine']",[],"['Diabetes', 'Drugs', 'Alpha', 'glucosidase', 'inhibitors']","['Diabetes Drugs', 'inhibitors']"
221,Diabetes Drugs: what are Thiazolidinedione / Glitazones?,management,"Thiazolidinediones also known as glitazones are a medication for type 2 diabetes which help to improve insulin sensitivity and have been found to help decrease triglyceride levels. However these have recently been in public spotlight as questions over their long term safety. In September 2010 the most popularly prescribed drug in this class rosiglitazone (Avandia) was banned for use by the European medicines Agency over heart attack concerns. Pioglitazone (Actos) has also made the news in connection with instances of bladder cancer however the danger has not been deemed sufficient to need to ban the drug in the UK.""",thiazolidinediones also known as glitazones are a medication for type 2 diabetes which help to improve insulin sensitivity and have been found to help decrease triglyceride levels.,[],"['thiazolidinediones', 'glitazones', 'medication', 'type', 'diabetes', 'insulin', 'sensitivity', 'triglyceride', 'levels']","['type 2 diabetes', 'thiazolidinediones', 'medication', 'glitazones', 'insulin sensitivity', 'triglyceride levels']",[],"['Diabetes', 'Drugs', 'Thiazolidinedione', 'Glitazones']","['Diabetes Drugs', 'Glitazones', 'Thiazolidinedione']"
222,Diabetes Drugs: what are DPP-4 inhibitors / Gliptins?,management,"DPP-4 inhibitors also known as gliptins are a class of drug which help to stimulate the production of insulin and reduce the production of glucagon particularly during digestion. DPP-4 inhibitors are usually prescribed for people with type 2 diabetes who have not responded well to drugs such as metformin and sulphonylureas. This drug class includes following medications (trade names in brackets): Linagliptin (Tradjenta) Saxagliptin (Onglyza) Sitagliptin (Januvia) Vildagliptin (Galvus).""",dpp-4 inhibitors also known as gliptins are a class of drug which help to stimulate the production of insulin and reduce the production of glucagon particularly during digestion.,[],"['dpp', 'inhibitors', 'gliptins', 'class', 'drug', 'production', 'insulin', 'production', 'glucagon', 'digestion']","['class', 'gliptins', 'production', 'drug', 'production', 'glucagon', 'digestion', 'insulin']",[],"['Diabetes', 'Drugs', 'DPP', 'inhibitors', 'Gliptins']","['Diabetes Drugs', 'Gliptins']"
223,Diabetes Drugs: what are Incretin mimetics / GLP-1 analogues?,management,"Incretin mimetics also known as GLP-1 analogues are an injectable treatment for type 2 diabetes. Incretin mimetics look to mimic the effect of a group of hormones called incretins which increase the production of insulin and decrease the release of glucagon in a relatively similar way DPP-4 inhibitors. This is not a coincidence as the way DPP-4 inhibitors work is to prevent the protein dipeptidyl peptidase-4 from destroying the incretin hormones. GLP-1 analogues have been found to be particularly effective in helping to improve blood glucose levels and helping with weight loss. The following GLP-1 analogues are prescribed in the UK (branded names in brackets): Dulaglutide (Trulicity) Exenatide (Byetta) Liraglutide (Victoza) Lixisenatide (Lyxumia).""",incretin mimetics also known as glp-1 analogues are an injectable treatment for type 2 diabetes.,['injectable'],"['incretin', 'mimetics', 'glp', 'analogues', 'treatment', 'type', 'diabetes']","['incretin mimetics', 'analogues', 'diabetes', 'treatment']",['Incretin'],"['Diabetes', 'Drugs', 'mimetics', 'GLP', 'analogues']","['Diabetes Drugs', 'mimetics', 'analogues', 'GLP-1']"
224,Diabetes Drugs: what are Amylin analogues?,management,"Amylin is a hormone produced by the pancreas and released at the same time as insulin but in much smaller quantities (about 1% compared with insulin). Amylin helps to suppress glucagon release and therefore reduce post meal blood glucose levels. Pramlintide acetate (marketed as Symlin) is available in the US as an injectable drug for the treatment of both type 1 and type 2 diabetes. The use of amylin with insulin can carry an increased chance of hypoglycemia.""",amylin is a hormone produced by the pancreas and released at the same time as insulin but in much smaller quantities (about 1% compared with insulin).,"['same', 'smaller']","['amylin', 'hormone', 'pancreas', 'time', 'insulin', 'quantities', '%', 'insulin']","['hormone', 'pancreas', 'insulin', 'insulin', 'quantities']",[],"['Diabetes', 'Drugs', 'Amylin', 'analogues']","['Diabetes Drugs', 'Amylin']"
225,can I have a list of A-Z of diabetes drugs?,management,Explore the 50+ diabetes drugs available in the UK and worldwide (including those discontinued in the UK): http://www.diabetes.co.uk/Diabetes-drugs.html,explore the 50+ diabetes drugs available in the uk and worldwide (including those discontinued in the uk): http://www.diabetes.co.uk/diabetes-drugs.html,['available'],"['diabetes', 'drugs', 'uk', 'uk']","['uk', 'diabetes drugs', 'http://www.diabetes.co.uk/diabetes-drugs.html']",[],"['list', 'A-Z', 'diabetes', 'drugs']","['list', 'A-Z', 'diabetes drugs']"
226,What causes erectile dysfunction amongst diabetics?,cause,"Causes of ED are extremely complex and are based around changes that occur to the body over time affecting nerve muscle and blood vessel functions. In order to obtain an erection men need to have healthy blood vessels nerves male hormones and a desire to have sex. Without blood vessels and nerves that control erection ED can still occur despite a desire to have sex and normal male hormones.""",causes of ed are extremely complex and are based around changes that occur to the body over time affecting nerve muscle and blood vessel functions.,['complex'],"['causes', 'ed', 'changes', 'body', 'time', 'nerve', 'muscle', 'blood', 'vessel', 'functions']","['ed', 'causes', 'changes', 'body', 'nerve muscle', 'blood vessel functions']",['erectile'],"['dysfunction', 'diabetics']","['erectile dysfunction', 'diabetics']"
227,How is ED diagnosed?,diagnosis,"Erectile dysfunction is diagnosed using several different methods. Patient history often informs the degree and nature of the ED. Medical and sexual past often has an influence as does prescription or illegal drug use. ED patients may be physically examined and bodily features can give clues to the cause. Laboratory tests can also be key for diagnosing ED. Further tests such as monitoring nocturnal erection (nocturnal penile tumescence) can help to cancel some causes out. Furthermore psychological examination can reveal psychological factors.""",erectile dysfunction is diagnosed using several different methods.,"['erectile', 'several', 'different']","['dysfunction', 'methods']","['erectile dysfunction', 'methods']",[],['ED'],['ED']
228,Are there treatments for men with diabetes and erectile dysfunction?,management,"Men who have diabetes and are having trouble achieving or maintaining an erection can take oral medicine. The NHS can provide the following medications on prescription for men with diabetes: Brand names include: Viagra, Cialis, Levitra. However, these medicines can all affect the heart rate, and detailed consultation with your doctor is necessary to determine the best course of action. Additional treatments include intracavernous injection therapy, vacuum constriction devices, intraurethral therapy and sex therapy. Psychotherapy can have an enormous influence on erectile dysfunction. Further treatment such as surgery and vacuum devices may also have a role to play in some specific cases.",men who have diabetes and are having trouble achieving or maintaining an erection can take oral medicine.,['oral'],"['men', 'diabetes', 'trouble', 'erection', 'medicine']","['men', 'diabetes', 'trouble', 'medicine', 'erection']",['erectile'],"['treatments', 'men', 'diabetes', 'dysfunction']","['treatments', 'men', 'diabetes', 'erectile dysfunction']"
229,What is prediabetes?,informationanddefinition,Prediabetes is indicated by the presence of blood glucose levels higher than normal but not high enough to be classed as diabetes.,prediabetes is indicated by the presence of blood glucose levels higher than normal but not high enough to be classed as diabetes.,"['higher', 'normal', 'high']","['prediabetes', 'presence', 'blood', 'glucose', 'levels', 'diabetes']","['prediabetes', 'presence', 'blood glucose levels', 'diabetes']",[],['prediabetes'],['prediabetes']
230,Does stress impact blood sugar levels?,informationanddefinition,"There is an ever-growing amount of scientific literature relating stress and blood glucose levels. When stressed, the parasympathetic nervous system releases a slew of hormones that work to help you get through stressful situations. Evolutionary, this stress response would be the result of immediate danger to your life, thus these hormones work to increase heart rate, increase blood vessel diameter, reduce saliva production, reroute blood from the digestive organs to the muscles (slowing down digestion) and most importantly, convert glycogen to glucose for immediate use. Considering the stressful society we live in it can be asserted that these hormones that should be released to help keep us safe from predators are now actually damaging our health by increasing blood glucose levels when they do not need to be raised. Stress reduction techniques are invaluable for people that have to monitor their blood glucose levels. Simple stress alleviation techniques include regular exercise, listening to calming music or practising yoga/breathing exercises.",there is an ever-growing amount of scientific literature relating stress and blood glucose levels.,['scientific'],"['amount', 'literature', 'stress', 'blood', 'glucose', 'levels']","['amount', 'literature', 'blood glucose levels', 'stress']",[],"['stress', 'blood', 'sugar', 'levels']","['stress', 'blood sugar levels']"
231,How many carbs can I eat on the Low Carb Program?,informationanddefinition,"The Low Carb Program guidelines are set at around 120-150 g of carbs per day. However, if you feel like going lower it’s not only safe, we encourage it!",the low carb program guidelines are set at around 120-150 g of carbs per day.,['low'],"['carb', 'program', 'guidelines', 'g', 'carbs', 'day']","['program guidelines', 'carbs']",['many'],"['carbs', 'Low', 'Carb', 'Program']","['carbs', 'Low Carb Program']"
232,Can I drink sugar free diet drinks?,informationanddefinition,"If you have to make the choice between the sugary and sugar-free version it is better to take the sugar-free version. Generally speaking though, the low carb program looks to stay away from sugar-free diet drinks. This is as they have been shown to increase caloric intake and also make it more difficult for you to reset your palate and become accustomed to the more subtly sweet tastes of natural foods. Many low carbers, including myself, enjoy refreshing sugar-free drinks like carbonated water with slices of lemon and lime.",if you have to make the choice between the sugary and sugar-free version it is better to take the sugar-free version.,"['sugary', 'free', 'better', 'free']","['choice', 'sugar', 'version', 'sugar', 'version']","['version', 'choice', 'version']",['free'],"['sugar', 'diet', 'drinks']",['diet drinks']
233,Can I come off insulin?,informationanddefinition,"The Low Carb Program is a safe and effective way for people to treat their diabetes. Naturally, when you lower your carbohydrate and sugar intake, your blood glucose levels go down. Thus, your insulin injection doses should also decrease. Although I can’t give you any specific dosage information, frequently testing your blood sugar will help you to gain an understanding of how much insulin you need. Of course, these changes to your medication should be made in collaboration with your GP or diabetes nurse.",the low carb program is a safe and effective way for people to treat their diabetes.,"['low', 'safe', 'effective']","['carb', 'program', 'way', 'people', 'diabetes']","['program', 'people', 'diabetes']",[],['insulin'],['insulin']
234,How do I eat to my meter?,informationanddefinition,"One of the less appreciated techniques for living with diabetes is eating to your meter. This involves a process of trial and error with different types of foods and eventually results in an in-depth knowledge of your bodies response to certain foods. Using this technique will essentially teach you how specific foods will impact your blood glucose level and to what extent you should be eating them. To use this technique simply find a food item that you want to eat, but are unsure about. After consuming a small amount of said food, proceed to check your blood glucose levels. If theyre within a good range, at a later date eat a slightly larger portion and check again. Repeat this process until you eat an amount that raises your blood glucose higher than you deem acceptable. At this point, you have found the threshold amount of food you can eat without it raising your blood glucose level.",one of the less appreciated techniques for living with diabetes is eating to your meter.,['appreciated'],"['techniques', 'diabetes', 'meter']","['one', 'techniques', 'diabetes', 'meter']",[],['meter'],['meter']
235,What is fibre and should I avoid it?,management,"Fibre is a type of complex carbohydrate that can’t be digested in the human body. As it can’t be digested, it has no impact on blood sugar levels.",fibre is a type of complex carbohydrate that can’t be digested in the human body.,"['complex', 'human']","['fibre', 'type', 'carbohydrate', 'body']","['fibre', 'carbohydrate', 'human body']",[],['fibre'],['fibre']
236,Why are my blood glucose levels high in the morning when I’m fasted?,informationanddefinition,"Firstly, there is nothing to worry about, this is a very common occurrence in people with type 2 and is usually caused by what is known as dawn phenomenon. This occurrence is a result of hormone release during the night. Whilst asleep, our bodies secrete growth hormone and cortisol (two common hormones) which signal to the liver to release glucose. This is to ensure you have enough glucose in the morning and dont wake up with a hypo. However, it is not always certain that dawn phenomenon is the reason for your high blood glucose levels. If you wish to learn more about dawn phenomenon DCuk has covered this topic in more detail, just follow the link below. http://www.diabetes.co.uk/blood-glucose/dawn-phenomenon.html","firstly, there is nothing to worry about, this is a very common occurrence in people with type 2 and is usually caused by what is known as dawn phenomenon.",['common'],"['nothing', 'occurrence', 'people', 'type', 'dawn', 'phenomenon']","['occurrence', 'people', 'dawn phenomenon']",['high'],"['blood', 'glucose', 'levels', 'morning']",['blood glucose levels']
237,How do I get started on the program?,informationanddefinition,"Start by watching the weekly program lessons, answering the questions to test your knowledge and then following the action points for the week. You can start to track your weight loss, blood pressure, blood glucose, HbA1c, cholesterol levels and any other metrics you feel are noteworthy on the dashboard. This is helpful as it will give you a visible guide of your progress and will make your goals feel much more achievable. In terms of what you should actually eat, it will all be covered in the weekly videos, but for a quick overview you should be cutting sugar out or at least down to very low levels. That means cutting out things like chocolate, cake, ice-cream, and sugary drinks. Also looking to decrease carbohydrate consumption to under 150g per day. That means cutting back on starchy foods like pasta, rice, bread, potato, pastries, cereal and crisps. Look instead to eat fresh vegetables and increase your healthy fat consumption by eating cuts of meat, fish, dairy (excluding milk) seeds, nuts, avocado and olives/olive oil. For cooking try using butter, lard or coconut oils. There are a variety of recipe books available to access for free from the download section of the app or online. The recommended recipes are set up in a way that allows you the freedom to eat these delicious meals without consuming more than 120-150g of carbs per day. Some recipes are relatively carb free whilst others allow you to enjoy within moderation, if you wish to stay on the lower end of the carb consumption spectrum there are many recipes that contain less than 10 carbs per serving. This may seem like a lot to take in, but the program is designed to introduce you slowly.","start by watching the weekly program lessons, answering the questions to test your knowledge and then following the action points for the week.",['weekly'],"['start', 'program', 'lessons', 'questions', 'knowledge', 'action', 'points', 'week']","['program lessons', 'questions', 'knowledge', 'action points']",[],['program'],['program']
238,Can I drink fruit juice?,informationanddefinition,"Much to the dismay of juice lovers worldwide, fruit juice can contain even more sugar than the whopping 50 g of sugar present in fizzy drinks. For this reason, fruit juices should be avoided where possible. Like with fizzy drinks, you should think of fruit juice as sugary water.","much to the dismay of juice lovers worldwide, fruit juice can contain even more sugar than the whopping 50 g of sugar present in fizzy drinks.","['much', 'more', 'whopping', 'present', 'fizzy']","['dismay', 'juice', 'lovers', 'fruit', 'juice', 'sugar', 'g', 'sugar', 'drinks']","['dismay', 'fruit juice', 'juice lovers', 'sugar', 'sugar', 'drinks']",[],"['fruit', 'juice']",['fruit juice']
239,What snacks can I eat?,informationanddefinition,"There are lots of delicious low carb snacks that you can eat whenever you’re feeling peckish. I personally enjoy slices of cheese and olives, nuts, eggs and cold cuts of meat. For a more comprehensive list of snacks, both savoury and sweet, There are a variety of recipes available to access for free from the download section of the app or online.",there are lots of delicious low carb snacks that you can eat whenever you’re feeling peckish.,"['delicious', 'low', 'peckish']","['lots', 'carb', 'snacks']","['lots', 'snacks']",[],['snacks'],['snacks']
240,What is glucagon?,informationanddefinition,"Glucagon is a hormone created in the pancreas which helps to regulate blood sugar. Thought of as the opposite of insulin, glucagon works to raise blood sugar concentrations.",glucagon is a hormone created in the pancreas which helps to regulate blood sugar.,[],"['glucagon', 'hormone', 'pancreas', 'blood', 'sugar']","['glucagon', 'pancreas', 'blood sugar']",[],['glucagon'],['glucagon']
241,What can I have for breakfast that doesn’t involve egg?,informationanddefinition,Any assortment of roasted or pan-fried vegetables in coconut oil is delicious. I also enjoy smoked salmon wrapped in cucumber slices with some cream cheese as a light breakfast. For more egg free breakfasts feel free to click the link. https://www.diabetes.co.uk/lowcarb/life/favourite-low-carb-breakfasts-without-eggs.,any assortment of roasted or pan-fried vegetables in coconut oil is delicious.,"['roasted', 'pan-fried', 'delicious']","['assortment', 'vegetables', 'coconut', 'oil']","['assortment', 'vegetables', 'coconut oil']",[],"['breakfast', 'egg']","['breakfast', 'egg']"
242,What can I have for breakfast that doesn’t involve bacon?,informationanddefinition,"Any assortment of roasted or pan-fried vegetables in coconut oil is delicious. I also enjoy smoked salmon wrapped in cucumber slices with some cream cheese as a light breakfast. For more ideas, the diabetes recipe app contains over 790 recipes, with new ones added every week. This is an excellent app and is tailored to your diet allowing you to search for recipes by ingredient, meal type, carb content and even save your favourites and rate your recipes. There are also a variety of recipe books available to access for free from the download section of the app or online. The recommended recipes are set up in a way that allows you the freedom to eat these delicious meals without consuming more than 120-150g of carbs per day. Some recipes are relatively carb free whilst others allow you to enjoy within moderation, if you wish to stay on the lower end of the carb consumption spectrum there are many recipes that contain less than 10 carbs per serving.",any assortment of roasted or pan-fried vegetables in coconut oil is delicious.,"['roasted', 'pan-fried', 'delicious']","['assortment', 'vegetables', 'coconut', 'oil']","['assortment', 'vegetables', 'coconut oil']",[],"['breakfast', 'bacon']","['breakfast', 'bacon']"
243,What can I have for breakfast that doesn’t involve dairy?,informationanddefinition,"Any assortment of roasted or pan-fried vegetables in coconut oil is delicious. I also enjoy smoked salmon wrapped in cucumber slices as a light breakfast. For more ideas, the diabetes recipe app contains over 790 recipes, with new ones added every week. This is an excellent app and is tailored to your diet allowing you to search for recipes by ingredient, meal type, carb content and even save your favourites and rate your recipes. There are also a variety of recipe books available to access for free from the download section of the app or online. The recommended recipes are set up in a way that allows you the freedom to eat these delicious meals without consuming more than 120-150g of carbs per day. Some recipes are relatively carb free whilst others allow you to enjoy within moderation, if you wish to stay on the lower end of the carb consumption spectrum there are many recipes that contain less than 10 carbs per serving.",any assortment of roasted or pan-fried vegetables in coconut oil is delicious.,"['roasted', 'pan-fried', 'delicious']","['assortment', 'vegetables', 'coconut', 'oil']","['assortment', 'vegetables', 'coconut oil']",[],"['breakfast', 'dairy']","['breakfast', 'dairy']"
244,What can I have for breakfast?,informationanddefinition,"My favourite low carb breakfast is a smoked salmon, bacon, avocado and Feta breakfast bowl. It’s delicious and is full of lots of healthy mono and poly-unsaturated fats. For more ideas, the diabetes recipe app contains over 790 recipes, with new ones added every week. This is an excellent app and is tailored to your diet allowing you to search for recipes by ingredient, meal type, carb content and even save your favourites and rate your recipes. There are also a variety of recipe books available to access for free from the download section of the app or online. The recommended recipes are set up in a way that allows you the freedom to eat these delicious meals without consuming more than 120-150g of carbs per day. Some recipes are relatively carb free whilst others allow you to enjoy within moderation, if you wish to stay on the lower end of the carb consumption spectrum there are many recipes that contain less than 10 carbs per serving.","my favourite low carb breakfast is a smoked salmon, bacon, avocado and feta breakfast bowl.","['favourite', 'low']","['carb', 'breakfast', 'salmon', 'bacon', 'avocado', 'feta', 'breakfast', 'bowl']","['breakfast', 'bacon', 'breakfast bowl', 'avocado']",[],['breakfast'],['breakfast']
245,Is low carb making me tired?,informationanddefinition,"When first starting on the low carb program, it is common for you to feel tired. This is as your body is in the process of transitioning from a state of using glucose for fuel to using fats. If you’ve been living the low carb lifestyle for a while and are still feeling tired, upping your fat intake, water intake and salt intake may be of use. Also, certain medications may be contribution to your lack of energy, so contacting your doctor may be beneficial.","when first starting on the low carb program, it is common for you to feel tired.","['low', 'common', 'tired']","['carb', 'program']",['program'],"['low', 'tired']",['carb'],['carb']
246,Is this program just for people with diabetes?,informationanddefinition,"Although it is especially beneficial for people with diabetes, people looking to lose weight, lower their blood pressure or even just increase their general health can follow the low carb lifestyle and reap the benefits.","although it is especially beneficial for people with diabetes, people looking to lose weight, lower their blood pressure or even just increase their general health can follow the low carb lifestyle and reap the benefits.","['beneficial', 'general', 'low']","['people', 'diabetes', 'people', 'weight', 'blood', 'pressure', 'health', 'carb', 'lifestyle', 'benefits']","['people', 'people', 'diabetes', 'weight', 'blood pressure', 'lifestyle', 'benefits', 'health']",[],"['program', 'people', 'diabetes']","['program', 'people', 'diabetes']"
247,Can I eat Potato?,informationanddefinition,"The Low Carb Program looks to stay away from tubers like potatoes as when consumed, theyre still broken down into sugar and will spike your blood glucose levels in the same way as table sugar.","the low carb program looks to stay away from tubers like potatoes as when consumed, theyre still broken down into sugar and will spike your blood glucose levels in the same way as table sugar.","['low', 'same']","['carb', 'program', 'tubers', 'potatoes', 'sugar', 'blood', 'glucose', 'levels', 'way', 'table', 'sugar']","['program', 'tubers', 'sugar', 'potatoes', 'blood glucose levels', 'way', 'table sugar']",[],['Potato'],['Potato']
248,Can I eat sweet potato?,informationanddefinition,"The Low Carb Program looks to stay away from tubers like sweet potato as when consumed, theyre still broken down into sugar and will spike your blood glucose levels in the same way as table sugar.","the low carb program looks to stay away from tubers like sweet potato as when consumed, theyre still broken down into sugar and will spike your blood glucose levels in the same way as table sugar.","['low', 'sweet', 'same']","['carb', 'program', 'tubers', 'potato', 'sugar', 'blood', 'glucose', 'levels', 'way', 'table', 'sugar']","['program', 'tubers', 'sugar', 'sweet potato', 'blood glucose levels', 'way', 'table sugar']",['sweet'],['potato'],['sweet potato']
249,Can I eat cassava?,informationanddefinition,"The Low Carb Program looks to stay away from tubers like cassava as when consumed, theyre still broken down into sugar and will spike your blood glucose levels in the same way as table sugar.","the low carb program looks to stay away from tubers like cassava as when consumed, theyre still broken down into sugar and will spike your blood glucose levels in the same way as table sugar.","['low', 'same']","['carb', 'program', 'tubers', 'cassava', 'sugar', 'blood', 'glucose', 'levels', 'way', 'table', 'sugar']","['program', 'tubers', 'sugar', 'cassava', 'blood glucose levels', 'way', 'table sugar']",[],['cassava'],['cassava']
250,Can I eat yam?,informationanddefinition,"The Low Carb Program looks to stay away from tubers like yam as when consumed, theyre still broken down into sugar and will spike your blood glucose levels in the same way as table sugar.","the low carb program looks to stay away from tubers like yam as when consumed, theyre still broken down into sugar and will spike your blood glucose levels in the same way as table sugar.","['low', 'same']","['carb', 'program', 'tubers', 'yam', 'sugar', 'blood', 'glucose', 'levels', 'way', 'table', 'sugar']","['program', 'tubers', 'sugar', 'yam', 'blood glucose levels', 'way', 'table sugar']",[],['yam'],['yam']
251,Can I eat yuca?,informationanddefinition,"The Low Carb Program looks to stay away from tubers like yuca as when consumed, theyre still broken down into sugar and will spike your blood glucose levels in the same way as table sugar.","the low carb program looks to stay away from tubers like yuca as when consumed, theyre still broken down into sugar and will spike your blood glucose levels in the same way as table sugar.","['low', 'same']","['carb', 'program', 'tubers', 'yuca', 'sugar', 'blood', 'glucose', 'levels', 'way', 'table', 'sugar']","['program', 'tubers', 'sugar', 'yuca', 'blood glucose levels', 'way', 'table sugar']",[],['yuca'],['yuca']
252,Can I eat Chinese yam?,informationanddefinition,"The Low Carb Program looks to stay away from tubers like Chinese yam as when consumed, theyre still broken down into sugar and will spike your blood glucose levels in the same way as table sugar.","the low carb program looks to stay away from tubers like chinese yam as when consumed, theyre still broken down into sugar and will spike your blood glucose levels in the same way as table sugar.","['low', 'chinese', 'same']","['carb', 'program', 'tubers', 'yam', 'sugar', 'blood', 'glucose', 'levels', 'way', 'table', 'sugar']","['program', 'tubers', 'sugar', 'chinese yam', 'blood glucose levels', 'way', 'table sugar']",['Chinese'],['yam'],"['Chinese', 'yam']"
253,Can I eat crisps?,informationanddefinition,"The Low Carb Program looks to stay away from snacks like crisps as when consumed, theyre still broken down into sugar and will spike your blood glucose levels in the same way as table sugar.","the low carb program looks to stay away from snacks like crisps as when consumed, theyre still broken down into sugar and will spike your blood glucose levels in the same way as table sugar.","['low', 'same']","['carb', 'program', 'snacks', 'crisps', 'sugar', 'blood', 'glucose', 'levels', 'way', 'table', 'sugar']","['program', 'snacks', 'sugar', 'crisps', 'blood glucose levels', 'way', 'table sugar']",[],['crisps'],['crisps']
254,Can I eat cake?,informationanddefinition,The Low Carb Program looks to stay away from store brought cakes as they’re full of sugar and when metabolised will spike your blood glucose levels.,the low carb program looks to stay away from store brought cakes as they’re full of sugar and when metabolised will spike your blood glucose levels.,"['low', 'full']","['carb', 'program', 'store', 'cakes', 'sugar', 'blood', 'glucose', 'levels']","['program', 'cakes', 'store', 'sugar', 'blood glucose levels']",[],['cake'],['cake']
255,Are there any low carb cakes?,informationanddefinition,"Using Coconut or almond flour, sweeteners, eggs and unsweetened cocoa powder you can make a delicious low carb cake. For more ideas, the diabetes recipe app contains lots of low carb desserts, with new ones added every week. This is an excellent app and is tailored to your diet allowing you to search for recipes by ingredient, meal type, carb content and even save your favourites and rate your recipes. There are also a variety of recipe books available to access for free from the download section of the app or online. The recommended recipes are set up in a way that allows you the freedom to eat these delicious meals without consuming more than 120-150g of carbs per day. Some recipes are relatively carb free whilst others allow you to enjoy within moderation, if you wish to stay on the lower end of the carb consumption spectrum there are many desserts that contain less than 40 carbs per serving.","using coconut or almond flour, sweeteners, eggs and unsweetened cocoa powder you can make a delicious low carb cake.","['unsweetened', 'delicious', 'low']","['coconut', 'almond', 'flour', 'sweeteners', 'eggs', 'cocoa', 'powder', 'carb', 'cake']","['coconut', 'almond flour', 'sweeteners', 'eggs', 'cocoa powder', 'cake']",['low'],"['carb', 'cakes']",['carb cakes']
256,Can I eat biscuits,informationanddefinition,The Low Carb Program looks to stay away from store brought biscuits as they’re full of sugar and when metabolised will spike your blood glucose levels.,the low carb program looks to stay away from store brought biscuits as they’re full of sugar and when metabolised will spike your blood glucose levels.,"['low', 'full']","['carb', 'program', 'store', 'biscuits', 'sugar', 'blood', 'glucose', 'levels']","['program', 'biscuits', 'store', 'sugar', 'blood glucose levels']",[],['biscuits'],['biscuits']
257,Are there any low carb biscuits?,informationanddefinition,"Using almond flour, stevia (or your sweetener of choice), eggs, ghee and some baking soda you can make some delicious low carb biscuits. For more info, the diabetes recipe app contains lots of low carb desserts, with new ones added every week. This is an excellent app and is tailored to your diet allowing you to search for recipes by ingredient, meal type, carb content and even save your favourites and rate your recipes. There are also a variety of recipe books available to access for free from the download section of the app or online. The recommended recipes are set up in a way that allows you the freedom to eat these delicious meals without consuming more than 120-150g of carbs per day. Some recipes are relatively carb free whilst others allow you to enjoy within moderation, if you wish to stay on the lower end of the carb consumption spectrum there are many desserts that contain less than 40 carbs per serving.","using almond flour, stevia (or your sweetener of choice), eggs, ghee and some baking soda you can make some delicious low carb biscuits.","['delicious', 'low']","['almond', 'flour', 'stevia', 'sweetener', 'choice', 'eggs', 'ghee', 'baking', 'soda', 'carb', 'biscuits']","['almond flour', 'stevia', 'eggs', 'sweetener', 'choice', 'ghee', 'baking soda', 'biscuits']",['low'],"['carb', 'biscuits']",['biscuits']
258,Can I eat cheesecake?,informationanddefinition,The Low Carb Program looks to stay away from store brought cheesecake as it’s full of sugar and when metabolised will spike your blood glucose levels.,the low carb program looks to stay away from store brought cheesecake as it’s full of sugar and when metabolised will spike your blood glucose levels.,"['low', 'full']","['carb', 'program', 'store', 'cheesecake', 'sugar', 'blood', 'glucose', 'levels']","['program', 'cheesecake', 'store', 'sugar', 'blood glucose levels']",[],['cheesecake'],['cheesecake']
259,Are there any low carb cheesecake recipes?,informationanddefinition,"Our vanilla cheesecake, with only 13 grams of carbs per serving, can be found on the 365-recipe cookbook for free in the download section. For more info, the diabetes recipe app contains lots of low carb desserts, with new ones added every week. This is an excellent app and is tailored to your diet allowing you to search for recipes by ingredient, meal type, carb content and even save your favourites and rate your recipes. There are also a variety of recipe books available to access for free from the download section of the app or online. The recommended recipes are set up in a way that allows you the freedom to eat these delicious meals without consuming more than 120-150g of carbs per day. Some recipes are relatively carb free whilst others allow you to enjoy within moderation, if you wish to stay on the lower end of the carb consumption spectrum there are many desserts that contain less than 40 carbs per serving.","our vanilla cheesecake, with only 13 grams of carbs per serving, can be found on the 365-recipe cookbook for free in the download section.",['free'],"['vanilla', 'cheesecake', 'grams', 'carbs', 'serving', 'recipe', 'cookbook', 'download', 'section']","['vanilla cheesecake', 'serving', 'carbs', 'download section', 'cookbook']",['low'],"['carb', 'cheesecake', 'recipes']",['cheesecake recipes']
260,Can I eat carrot cake?,informationanddefinition,The Low Carb Program looks to stay away from store brought cheesecake as it’s full of sugar and when metabolised will spike your blood glucose levels.,the low carb program looks to stay away from store brought cheesecake as it’s full of sugar and when metabolised will spike your blood glucose levels.,"['low', 'full']","['carb', 'program', 'store', 'cheesecake', 'sugar', 'blood', 'glucose', 'levels']","['program', 'cheesecake', 'store', 'sugar', 'blood glucose levels']",[],"['carrot', 'cake']",['carrot cake']
