QUESTION,ID,ANSWER
how does Diabetes affect the Family?,179,"Like any chronic condition diabetes can have an influence on the family of the person who has the illness. Help and advice is available to those who think their diabetes is affecting their family. In addition those who have family members with diabetes can also receive help and support."""
Why might someone with diabetes need the help and support of their family?,180,"Living with diabetes is not easy and unfortunately once it has developed diabetes does not go away. In order to successfully manage diabetes most diabetics need to make some serious lifestyle changes. Learning how to monitor and control blood sugar levels can take time and the threat of serious health problems never goes away. For this reason a person who has diabetes may need the help and support of their family. Diabetics may face numerous complications and may also be more prone to depression and stress."""
How can one help relatives with diabetes?,181,"Education is the key to helping people with diabetes just as it is in preventing type 2 diabetes. Learn as much as you can because the more you understand about the disease the more you can help. Be sympathetic about the condition particularly for those people who have been newly diagnosed with diabetes. Diabetes can be an insidious and frustrating condition and induces fear in some people."""
What healthy changes should I encourage my relative to make?,182,"If you and your relative share meal times make sure that they eat the same healthy food that you do. Try not to buy any types of food that he or she shouldn’t eat. Diabetics need to stay aware of their diet and if you understand a healthy diabetic diet this can be all the easier to communicate to your relative. Exercise is another fundamental part of diabetes management. Relatives can make exercising easier by agreeing to exercise together although each diabetic should speak to their healthcare adviser in order to find out what type of exercise will suit their condition."""
What else can I do to help the diabetic or diabetics in my family?,183,"Knowledge is power here and if you can learn how to recognise any signs of problems you could be a genuine help.The symptoms of high and low blood sugar levels are the place to start. You can also help by understanding the condition. For instance if your relative seems more irritable than usual it could be down to a blood sugar level change."""
Any other tips about diabetes and the family?,184,"Just be patient and realise that for some people learning to live with diabetes can be difficult. Recognise that diabetics have good and bad days and may need your emotional support sometimes. Remember to set an example by eating healthily and exercising regularly."""
Someone in my family has diabetes; do I have a greater risk of developing it?,185,"Those people who have a family member particularly a close relative with diabetes do face a higher risk of developing diabetes than someone who does not. Diabetes is effected by genetics. If it is a distant relative who suffers from the disease then your risk is somewhat decreased. Blood relatives should all be made aware of their risk."""
Do I need to be screened for diabetes if a family member is diagnosed?,186,"All family members should seek screening and understand prevention. For type 2 diabetes particular preventative guidelines can be followed. These include: Frequent exercise Keeping weight onstant and appropriate for height Testing your glucose levels every three years after the age of 45."""
What is the best weapon families can employ against diabetes?,187,"Staying aware about diabetes means that you will know when and how to treat it and also how best to prevent the disease. You will also be abreast of any new developments and scientific advantages to help prevent diabetes."""
Which diet will help me to lose weight?,188,"The diet industry is huge but how do you pick a sensible diet? Many diets involve reducing or restricting certain foods which makes some diets more or less appropriate for certain types of people. If you need help choosing which diet to pick a dietitian will be able to assist you in making a suitable choice."""
How does exercise help diabetes and weight loss?,189,"Exercise can help you to lose weight by building muscle and burning calories. Although this can take time particularly to physically notice the differences each activity becomes easier as you become fitter. Always make sure exercise is appropriate to your situation."""
Could alternative weight loss therapies help?,190,"Alternative weight loss therapies can be beneficial to help support weight loss. They can help with motivation and can also help you to make appropriate health choices. If in any doubt though check with your healthcare team whether the therapy is suitable for you."""
Should I consider weight loss surgery?,191,"If all else fails and only if all else fails weight loss surgery is available as a last resort option. Weight loss surgery is a serious undertaking but for some people it can be particularly beneficial."""
what are the Causes of Diabetes?,192,"Diabetes causes vary depending on your genetic makeup family history ethnicity health and environmental factors. There is no common diabetes cause that fits every type of diabetes. The reason there is no defined diabetes cause is because the causes of diabetes vary depending on the individual and the type. For instance; the causes of type 1 diabetes vary considerably from the causes of gestational diabetes. Similarly the causes of type 2 diabetes are distinct from the causes of type 1 diabetes. """
what are Type 1 diabetes causes?,193,"Type 1 diabetes is caused by the immune system destroying the cells in the pancreas that make insulin. This causes diabetes by leaving the body without enough insulin to function normally. This is called an autoimmune reaction or autoimmune cause because the body is attacking itself. There is no specific diabetes causes but the following triggers may be involved: Viral or bacterial infection Chemical toxins within food Unidentified component causing autoimmune reaction. Underlying genetic disposition may also be a type 1 diabetes cause."""
what are Type 2 diabetes causes?,194,"Type 2 diabetes causes are usually multifactorial - more than one diabetes cause is involved. Often the most overwhelming factor is a family history of type 2 diabetes. This is the most likely type 2 diabetes cause. There are a variety of risk factors for type 2 diabetes any or all of which increase the chances of developing the condition. These include: Obesity Living a sedentary lifestyle Increasing age Bad diet. Other type 2 diabetes causes such as pregnancy or illness can be type 2 diabetes risk factors."""
what are Other diabetes causes?,195,"There are a variety of other potential diabetes causes. These include the following: Pancreatitis or pancreatectomy as a cause of diabetes. Pancreatitis is known to increase the risk of developing diabetes as is a pancreatectomy. Polycystic Ovary Syndrome (PCOS). One of the root causes of PCOS is obesity-linked insulin resistance which may also increase the risk of pre-diabetes and type 2 diabetes. Cushing’s syndrome. This syndrome increases production of the cortisol hormone which serves to increased blood glucose levels. An over-abundance of cortisol can cause diabetes. Glucagonoma. Patients with glucagonoma may experience diabetes because of a lack of equilibrium between levels of insulin production and glucagon production. Steroid induced diabetes (steroid diabetes) is a rare form of diabetes that occurs due to prolonged use of glucocorticoid therapy."""
what causes Gestational diabetes?,196,"The causes of diabetes in pregnancy also known as gestational diabetes remain unknown. However there are a number of risk factors that increase the chances of developing this condition: Family history of gestational diabetes Overweight or obese Suffer from polycystic ovary syndrome Have had a large baby weighing over 9lb Causes of gestational diabetes may also be related to ethnicity - some ethnic groups have a higher risk of."""
what are the Symptoms of charcot foot?,197,"Symptoms of Charcot foot may include: Swelling or redness of the foot or ankle Skin feeling warmer at the point of injury A deep aching feeling Deformation of the foot People with diabetes should report any signs of foot damage to their doctor as soon as possible as they can develop and become much more serious as a result of neuropathy. More serious foot conditions can result in amputation if not treated by a doctor or specialist."""
what are the Causes of charcot foot?,198,"Charcot foot typically develops over a period of time and requires a number of factors to occur. People with neuropathy have diminished feeling in their feet and may also have reduced muscle control as a result of motor neuropathy. Both of these factors can increase the risk of developing Charcot foot. The trigger for Charcot foot can be a sprain or twisted ankle that goes unnoticed because of reduced feeling from nerve damage. If the person continues to place pressure on the foot through walking the injury can worsen and could lead to dislocation or fractures in one or more bones of the foot or ankle."""
what are the Treatment for charcot foot?,199,Charcot foot is treated by reducing pressure on the foot and wearing a plaster cast to allow the foot to set and heal in the correct position. Whilst your foot is healing you will need regular appointments with a podiatrist and x-rays.
what to do when Recovering from charcot foot?,200,"Whilst the affected foot is recovering check your other foot for any signs of damage or strain as this foot is likely to be taking more pressure whilst the affected foot heals. Depending on how much damage has been sustained you may experience a change of shape in your foot."""
what are Diabetes Checks?,201,"Diabetes check ups are an extremely important part of diabetes care. There are some diabetes checks that you can carry out at home with others offered by the NHS. These checks are a vital part of weekly monthly and annual diabetes care. There are some types of diabetes checks that you can carry out at home and others are offered by the NHS. This includes glucose control foot care weight and keeping a diary. Checks for diabetes is where the individual can really make a difference to their own diabetes management above and beyond the check ups offered by healthcare professionals."""
what are Diabetes check ups for newly diagnosed people with diabetes?,202,"Diabetes check ups for children are a specialist subject and parents and children will be taught how to check up on their diabetes by specialist diabetes healthcare professionals. For adults there are a range of educational courses to help people with diabetes understand their condition. These courses include DAFNE and Bertie for type 1 diabetes and DESMOND and XPERT for type 2 diabetes. These courses help show adults the type of diabetes check ups needed to ensure good diabetes care. Education should include weight guidance testing blood sugar and how to look after your feet and eyes."""
What is stress?,203,"Simply out stress is a state of emotional strain or tension that occurs when we feel that we can’t cope with pressure. When we become stressed the body quickly responds by releasing hormones that give cells access to stored energy - fat and glucose - to help the body get away from danger. This instinctive physiological response to perceived threats is known as the """"fight-freeze or flight"""" response. Over time both physical and mental stress can wear us down mentally and lead to depression and other mental health issues."""
What can cause stress?,204,"We live in a very stressful society which is constantly putting us under pressure. This pressure can sometimes be too much to handle leading us to feel """"stressed out"""". This everyday feeling can be caused by simple things such as: Work Pressure Marriage and relationships Parenting/children Health problems such as diabetes Financial insecurity Traffic."""
How does stress affect my diabetes?,205,"It is widely recognised that people with diabetes are who regularly stressed are more likely to have poor blood glucose control. One of the reasons for this is that stress hormones such as cortisol increase the amount of sugar in our blood. High levels of cortisol can lead to conditions such as Cushing’s syndrome which is one of the lesser known causes of diabetes. Constant stress and frustration caused by long term problems with blood glucose regulation can also wear people down and cause them to neglect their diabetes care. For example they may start to ignore their blood sugar levels or simply forget to check them or they may adopt poor lifestyle habits such as exercising less eating more ‘junk’ and processed foods drinking more alcohol and smoking. This is known as diabetes burnout. While stress alters blood sugar levels the extent of its impact varies from person to person. Studies into the effects of stress on glucose levels in humans have shown that mental or psychological stress causes a rise in glucose levels in people with type 2 diabetes and in most type 1 diabetics although levels can drop in some individuals with type 1. Physical stress such as illness or injury almost always causes blood sugar levels to elevate in people with either type of diabetes."""
How do I know whether stress is affecting my glycemic control?,206,"A simple way to do this is to rate your stress level on a scale of 1 to 10 every time you test your blood sugar levels. Make a note of this number and next to it write down your glucose reading. By doing this consistently for a few weeks a pattern should emerge that allows you to see whether high levels of stress coincide with high glucose levels or vice versa."""
What is the fight-freeze or flight response?,207,"The fight-freeze or flight response is an evolutionary coping mechanism enabling us to deal with threats and stressful situations. When confronted by a threat hormones are released that help us get ready to either fight the threat or fuel a quick escape. There is an increase in glucose for energy increased blood pressure to take fresh oxygen to working muscles and the release of adrenalin for heightened vigilance and alertness. The """"freeze"""" factor has been introduced in recent years as theories have been put forward as to why people sometimes """"freeze"""" in a hopeless shocking situation. It is possible that this ‘rabbit in headlights’ reaction is similar to playing dead which could have helped our ancestors avoid attacks in the wild. Modern humans have fewer physical threats but when faced with psychological pressures such as getting stuck in traffic the brain and body still behaves in the same manner as when faced with a physical threat (i.e. the fight-freeze or flight response). However in people with diabetes this instinctive response does not work as well. Insulin is needed to get stored energy (glucose) into the body’s cells. But in people who have diabetes this process is hampered as insulin is either not produced (as with type 1 diabetes) or not used effectively (type 2 diabetes) resulting in the build-up of excess glucose in the bloodstream."""
How can I combat stress?,208,"There are a number of ways you can alleviate the feelings of stress. These include: Taking regular exercise or joining a sports team Going on holiday Listening to music Practicing yoga and breathing exercises Mindfulness meditation. The ultimate aim of these exercises/activities is relaxation which is key to controlling stress."""
How does exercise help with stress?,209,"Research studies including one from Maastricht University in 2000 show that physical activity can increase insulin sensitivity and help to lower blood glucose levels as well as burn calories. In the UK the NHS advise to build up to 150 minutes of aerobic activity such as jogging or brisk walking each week. Moving your body through a wide range of motions can also give the mind a rest from the pressures of everyday life. Some people find this relaxing as the mind is preoccupied with exercising rather than worrying about any problems in life."""
How does mindfulness meditation alleviate stress?,210,"Mindfulness meditation is the art of becoming aware of our present moment experiences including thoughts emotions and sensations in a non-judgemental and accepting manner. Mindfulness meditation courses have been shown to significantly reduce stress anxiety and panic attacks in people who are diagnosed with chronic stress and anxiety disorders such as Seasonal Anxiety Disorder (SAD). Specifically research studies have also shown that mindfulness can help people who have diabetes improve their blood glucose control reduce their blood pressure and enhance their overall quality of life. The research suggests that by simply accepting or acknowledging destructive emotions in a non-judgemental way as opposed to suppressing them or trying to change them people with diabetes are able to better regulate their blood glucose levels and cope with the mental strain of constantly treating themselves."""
What is a diabetes screening test?,211,"A screening test determines whether a person has diabetes and how serious it is. Depending on where you are and what your circumstances are the screening test will vary. Random blood glucose tests - commonly used to test for type 1 diabetes Urine glucose test Fasting plasma glucose tests (FPG tests) HbA1c test Oral glucose tolerance tests.Additional diagnostic tests such as urine ketone tests GAD autoantibodies tests or C-peptide tests may also be used as part of the diagnosis to distinguish between type 1 and type 2 diabetes. For adults aged between 40 and 50 screening should be considered. For people who have higher risk factors (ethnicity family history obesity) screening should be conducted beforehand. Measuring hemoglobin A1c (HbA1c) can help diagnose cases of prediabetes and type 2 diabetes. According to diagnostic guidelines set out by the World Health Organisation (WHO) a HbA1c value of: 6% (below 42 mmol/mol) is considered non-diabetic 6-6.4% (42 to 47 mmol/mol) indicates impaired fasting glucose regulation and is considered prediabetes 6.5% or more (48 mmol/mol and above) indicates the presence of type 2 diabetes. Diabetes screening is strongly recommended for adults aged between 40 and 50 years or earlier for any adults with one or more risk factors (ethnicity family history obesity etc)."""
What kind of conditions are usually related to diabetes?,212,"A number of medical conditions are often associated with diabetes and when they are discovered patients should be screened for the disease. These conditions include (alongside others): High blood pressure Elevated cholesterol levels Coronary artery disease Prior gestational diabetes Polycystic ovary syndrome Chronic pancreatitis Fatty liver Haemochromatosis Cystic fibrosis Mitochondrial neuropathies and myopathies Myotonic dystrophy Friedreich’s ataxia Inherited forms of neonatal hyperinsulinism."""
Can some drugs cause diabetes?,213,"This is a contentious issue but the risk of developing diabetes is regarded as being greater following the chronic use of some medications. These include high-level doses of glucocortinoids chemotherapy agents antipsychotics and mood stabilisers."""
What kind of problems could indicate diabetes?,214,"Diabetes diagnosis often occurs when a person is suffering from a problem known to be caused by diabetes. The type of problems leading to this conclusion include heart attacks strokes neuropathy failure of wounds to heal properly foot ulcers eye problems fungal infections and giving birth to a child with hypoglycaemia."""
what are Diabetes Drugs?,215,"There are a number of different types of diabetes drugs - with some having similar ways of acting. Drugs which act similarly to each other are put into the same class of drugs. Below is a list of the most common diabetes drug classes an A-Z of all diabetes drugs how they work who they are for and which medications fall into these drug classes."""
Diabetes Drugs:what is Insulin?,216,"Insulin is a hormone which helps to regulate blood sugar. A number of different types of insulin are available as medication with some insulins acting for as long as a day and others acting for only a few hours. However insulin is prescribed for people with type 1 diabetes and for people with type 2 diabetes who have not responded so well on oral medication (tablets)."""
Diabetes Drugs: what are Biguanides / Metformin?,217,"The only available diabetes medication in the biguanides class of drugs is metformin. Biguanides prevent the liver from producing glucose and helps to improve the body’s sensitivity towards insulin. Metformin is commonly used as a first line treatment for type 2 diabetes and may occasionally be prescribed in combination with insulin for people with type 1 diabetes."""
Diabetes Drugs: what are Sulphonylureas?,218,"Sulphonylureas are the class of antidiabetic drug for type 2 diabetes that tends to include those drugs which end in ‘ide’. The following drugs are all in the sulphonylureas class (branded names in brackets): Glibenclamide –also known as Glyburide (Daonil) Glipizide (Glucotrol) Gliquidone (Glurenorm) Glyclopyramide (Deamelin-S) Glimepiride (Amaryl) Gliclazide (Diamicron) Sulphonylureas work by increasing the amount of insulin the pancreas produces and increasing the working effectiveness of insulin. The mode of action of sulphonylureas means that hypoglycemia and weight gain can be relatively common side effects."""
Diabetes Drugs: what are Meglitinides / Prandial glucose regulator / Glinides?,219,"The glinides are a class of drug which have a similar response as sulphonylureas but act for a shorter time. Meglitinides are prescribed to be taken by people with type 2 diabetes within half an hour before eating. As the drugs act for a shorter period than sulphonylureas the side effects of hypoglycemia and weight gain have a smaller likelihood.Examples of prandial glucose regulators are (brand names in brackets): Repaglinide (Prandin) Nateglinide (Starlix)."""
Diabetes Drugs: what are Alpha-glucosidase inhibitors?,220,"Alpha-glucosidase inhibitors such as acarbose (marketed as Precose or Glucobay) or miglitol (branded as Glyset) are drugs for type 2 diabetes which slow down the digestion of carbohydrates in the small intestine and therefore can help to reduce after meal blood sugar levels."""
Diabetes Drugs: what are Thiazolidinedione / Glitazones?,221,"Thiazolidinediones also known as glitazones are a medication for type 2 diabetes which help to improve insulin sensitivity and have been found to help decrease triglyceride levels. However these have recently been in public spotlight as questions over their long term safety. In September 2010 the most popularly prescribed drug in this class rosiglitazone (Avandia) was banned for use by the European medicines Agency over heart attack concerns. Pioglitazone (Actos) has also made the news in connection with instances of bladder cancer however the danger has not been deemed sufficient to need to ban the drug in the UK."""
Diabetes Drugs: what are DPP-4 inhibitors / Gliptins?,222,"DPP-4 inhibitors also known as gliptins are a class of drug which help to stimulate the production of insulin and reduce the production of glucagon particularly during digestion. DPP-4 inhibitors are usually prescribed for people with type 2 diabetes who have not responded well to drugs such as metformin and sulphonylureas. This drug class includes following medications (trade names in brackets): Linagliptin (Tradjenta) Saxagliptin (Onglyza) Sitagliptin (Januvia) Vildagliptin (Galvus)."""
Diabetes Drugs: what are Incretin mimetics / GLP-1 analogues?,223,"Incretin mimetics also known as GLP-1 analogues are an injectable treatment for type 2 diabetes. Incretin mimetics look to mimic the effect of a group of hormones called incretins which increase the production of insulin and decrease the release of glucagon in a relatively similar way DPP-4 inhibitors. This is not a coincidence as the way DPP-4 inhibitors work is to prevent the protein dipeptidyl peptidase-4 from destroying the incretin hormones. GLP-1 analogues have been found to be particularly effective in helping to improve blood glucose levels and helping with weight loss. The following GLP-1 analogues are prescribed in the UK (branded names in brackets): Dulaglutide (Trulicity) Exenatide (Byetta) Liraglutide (Victoza) Lixisenatide (Lyxumia)."""
Diabetes Drugs: what are Amylin analogues?,224,"Amylin is a hormone produced by the pancreas and released at the same time as insulin but in much smaller quantities (about 1% compared with insulin). Amylin helps to suppress glucagon release and therefore reduce post meal blood glucose levels. Pramlintide acetate (marketed as Symlin) is available in the US as an injectable drug for the treatment of both type 1 and type 2 diabetes. The use of amylin with insulin can carry an increased chance of hypoglycemia."""
can I have a list of A-Z of diabetes drugs?,225,Explore the 50+ diabetes drugs available in the UK and worldwide (including those discontinued in the UK): http://www.diabetes.co.uk/Diabetes-drugs.html
What causes erectile dysfunction amongst diabetics?,226,"Causes of ED are extremely complex and are based around changes that occur to the body over time affecting nerve muscle and blood vessel functions. In order to obtain an erection men need to have healthy blood vessels nerves male hormones and a desire to have sex. Without blood vessels and nerves that control erection ED can still occur despite a desire to have sex and normal male hormones."""
How is ED diagnosed?,227,"Erectile dysfunction is diagnosed using several different methods. Patient history often informs the degree and nature of the ED. Medical and sexual past often has an influence as does prescription or illegal drug use. ED patients may be physically examined and bodily features can give clues to the cause. Laboratory tests can also be key for diagnosing ED. Further tests such as monitoring nocturnal erection (nocturnal penile tumescence) can help to cancel some causes out. Furthermore psychological examination can reveal psychological factors."""
Are there treatments for men with diabetes and erectile dysfunction?,228,"Men who have diabetes and are having trouble achieving or maintaining an erection can take oral medicine. The NHS can provide the following medications on prescription for men with diabetes: Brand names include: Viagra, Cialis, Levitra. However, these medicines can all affect the heart rate, and detailed consultation with your doctor is necessary to determine the best course of action. Additional treatments include intracavernous injection therapy, vacuum constriction devices, intraurethral therapy and sex therapy. Psychotherapy can have an enormous influence on erectile dysfunction. Further treatment such as surgery and vacuum devices may also have a role to play in some specific cases."
What is prediabetes?,229,Prediabetes is indicated by the presence of blood glucose levels higher than normal but not high enough to be classed as diabetes.
Does stress impact blood sugar levels?,230,"There is an ever-growing amount of scientific literature relating stress and blood glucose levels. When stressed, the parasympathetic nervous system releases a slew of hormones that work to help you get through stressful situations. Evolutionary, this stress response would be the result of immediate danger to your life, thus these hormones work to increase heart rate, increase blood vessel diameter, reduce saliva production, reroute blood from the digestive organs to the muscles (slowing down digestion) and most importantly, convert glycogen to glucose for immediate use. Considering the stressful society we live in it can be asserted that these hormones that should be released to help keep us safe from predators are now actually damaging our health by increasing blood glucose levels when they do not need to be raised. Stress reduction techniques are invaluable for people that have to monitor their blood glucose levels. Simple stress alleviation techniques include regular exercise, listening to calming music or practising yoga/breathing exercises."
How many carbs can I eat on the Low Carb Program?,231,"The Low Carb Program guidelines are set at around 120-150 g of carbs per day. However, if you feel like going lower it’s not only safe, we encourage it!"
Can I drink sugar free diet drinks?,232,"If you have to make the choice between the sugary and sugar-free version it is better to take the sugar-free version. Generally speaking though, the low carb program looks to stay away from sugar-free diet drinks. This is as they have been shown to increase caloric intake and also make it more difficult for you to reset your palate and become accustomed to the more subtly sweet tastes of natural foods. Many low carbers, including myself, enjoy refreshing sugar-free drinks like carbonated water with slices of lemon and lime."
Can I come off insulin?,233,"The Low Carb Program is a safe and effective way for people to treat their diabetes. Naturally, when you lower your carbohydrate and sugar intake, your blood glucose levels go down. Thus, your insulin injection doses should also decrease. Although I can’t give you any specific dosage information, frequently testing your blood sugar will help you to gain an understanding of how much insulin you need. Of course, these changes to your medication should be made in collaboration with your GP or diabetes nurse."
How do I eat to my meter?,234,"One of the less appreciated techniques for living with diabetes is eating to your meter. This involves a process of trial and error with different types of foods and eventually results in an in-depth knowledge of your bodies response to certain foods. Using this technique will essentially teach you how specific foods will impact your blood glucose level and to what extent you should be eating them. To use this technique simply find a food item that you want to eat, but are unsure about. After consuming a small amount of said food, proceed to check your blood glucose levels. If theyre within a good range, at a later date eat a slightly larger portion and check again. Repeat this process until you eat an amount that raises your blood glucose higher than you deem acceptable. At this point, you have found the threshold amount of food you can eat without it raising your blood glucose level."
What is fibre and should I avoid it?,235,"Fibre is a type of complex carbohydrate that can’t be digested in the human body. As it can’t be digested, it has no impact on blood sugar levels."
Why are my blood glucose levels high in the morning when I’m fasted?,236,"Firstly, there is nothing to worry about, this is a very common occurrence in people with type 2 and is usually caused by what is known as dawn phenomenon. This occurrence is a result of hormone release during the night. Whilst asleep, our bodies secrete growth hormone and cortisol (two common hormones) which signal to the liver to release glucose. This is to ensure you have enough glucose in the morning and dont wake up with a hypo. However, it is not always certain that dawn phenomenon is the reason for your high blood glucose levels. If you wish to learn more about dawn phenomenon DCuk has covered this topic in more detail, just follow the link below. http://www.diabetes.co.uk/blood-glucose/dawn-phenomenon.html"
How do I get started on the program?,237,"Start by watching the weekly program lessons, answering the questions to test your knowledge and then following the action points for the week. You can start to track your weight loss, blood pressure, blood glucose, HbA1c, cholesterol levels and any other metrics you feel are noteworthy on the dashboard. This is helpful as it will give you a visible guide of your progress and will make your goals feel much more achievable. In terms of what you should actually eat, it will all be covered in the weekly videos, but for a quick overview you should be cutting sugar out or at least down to very low levels. That means cutting out things like chocolate, cake, ice-cream, and sugary drinks. Also looking to decrease carbohydrate consumption to under 150g per day. That means cutting back on starchy foods like pasta, rice, bread, potato, pastries, cereal and crisps. Look instead to eat fresh vegetables and increase your healthy fat consumption by eating cuts of meat, fish, dairy (excluding milk) seeds, nuts, avocado and olives/olive oil. For cooking try using butter, lard or coconut oils. There are a variety of recipe books available to access for free from the download section of the app or online. The recommended recipes are set up in a way that allows you the freedom to eat these delicious meals without consuming more than 120-150g of carbs per day. Some recipes are relatively carb free whilst others allow you to enjoy within moderation, if you wish to stay on the lower end of the carb consumption spectrum there are many recipes that contain less than 10 carbs per serving. This may seem like a lot to take in, but the program is designed to introduce you slowly."
Can I drink fruit juice?,238,"Much to the dismay of juice lovers worldwide, fruit juice can contain even more sugar than the whopping 50 g of sugar present in fizzy drinks. For this reason, fruit juices should be avoided where possible. Like with fizzy drinks, you should think of fruit juice as sugary water."
What snacks can I eat?,239,"There are lots of delicious low carb snacks that you can eat whenever you’re feeling peckish. I personally enjoy slices of cheese and olives, nuts, eggs and cold cuts of meat. For a more comprehensive list of snacks, both savoury and sweet, There are a variety of recipes available to access for free from the download section of the app or online."
What is glucagon?,240,"Glucagon is a hormone created in the pancreas which helps to regulate blood sugar. Thought of as the opposite of insulin, glucagon works to raise blood sugar concentrations."
What can I have for breakfast that doesn’t involve egg?,241,Any assortment of roasted or pan-fried vegetables in coconut oil is delicious. I also enjoy smoked salmon wrapped in cucumber slices with some cream cheese as a light breakfast. For more egg free breakfasts feel free to click the link. https://www.diabetes.co.uk/lowcarb/life/favourite-low-carb-breakfasts-without-eggs.
What can I have for breakfast that doesn’t involve bacon?,242,"Any assortment of roasted or pan-fried vegetables in coconut oil is delicious. I also enjoy smoked salmon wrapped in cucumber slices with some cream cheese as a light breakfast. For more ideas, the diabetes recipe app contains over 790 recipes, with new ones added every week. This is an excellent app and is tailored to your diet allowing you to search for recipes by ingredient, meal type, carb content and even save your favourites and rate your recipes. There are also a variety of recipe books available to access for free from the download section of the app or online. The recommended recipes are set up in a way that allows you the freedom to eat these delicious meals without consuming more than 120-150g of carbs per day. Some recipes are relatively carb free whilst others allow you to enjoy within moderation, if you wish to stay on the lower end of the carb consumption spectrum there are many recipes that contain less than 10 carbs per serving."
What can I have for breakfast that doesn’t involve dairy?,243,"Any assortment of roasted or pan-fried vegetables in coconut oil is delicious. I also enjoy smoked salmon wrapped in cucumber slices as a light breakfast. For more ideas, the diabetes recipe app contains over 790 recipes, with new ones added every week. This is an excellent app and is tailored to your diet allowing you to search for recipes by ingredient, meal type, carb content and even save your favourites and rate your recipes. There are also a variety of recipe books available to access for free from the download section of the app or online. The recommended recipes are set up in a way that allows you the freedom to eat these delicious meals without consuming more than 120-150g of carbs per day. Some recipes are relatively carb free whilst others allow you to enjoy within moderation, if you wish to stay on the lower end of the carb consumption spectrum there are many recipes that contain less than 10 carbs per serving."
What can I have for breakfast?,244,"My favourite low carb breakfast is a smoked salmon, bacon, avocado and Feta breakfast bowl. It’s delicious and is full of lots of healthy mono and poly-unsaturated fats. For more ideas, the diabetes recipe app contains over 790 recipes, with new ones added every week. This is an excellent app and is tailored to your diet allowing you to search for recipes by ingredient, meal type, carb content and even save your favourites and rate your recipes. There are also a variety of recipe books available to access for free from the download section of the app or online. The recommended recipes are set up in a way that allows you the freedom to eat these delicious meals without consuming more than 120-150g of carbs per day. Some recipes are relatively carb free whilst others allow you to enjoy within moderation, if you wish to stay on the lower end of the carb consumption spectrum there are many recipes that contain less than 10 carbs per serving."
Is low carb making me tired?,245,"When first starting on the low carb program, it is common for you to feel tired. This is as your body is in the process of transitioning from a state of using glucose for fuel to using fats. If you’ve been living the low carb lifestyle for a while and are still feeling tired, upping your fat intake, water intake and salt intake may be of use. Also, certain medications may be contribution to your lack of energy, so contacting your doctor may be beneficial."
Is this program just for people with diabetes?,246,"Although it is especially beneficial for people with diabetes, people looking to lose weight, lower their blood pressure or even just increase their general health can follow the low carb lifestyle and reap the benefits."
Can I eat Potato?,247,"The Low Carb Program looks to stay away from tubers like potatoes as when consumed, theyre still broken down into sugar and will spike your blood glucose levels in the same way as table sugar."
Can I eat sweet potato?,248,"The Low Carb Program looks to stay away from tubers like sweet potato as when consumed, theyre still broken down into sugar and will spike your blood glucose levels in the same way as table sugar."
Can I eat cassava?,249,"The Low Carb Program looks to stay away from tubers like cassava as when consumed, theyre still broken down into sugar and will spike your blood glucose levels in the same way as table sugar."
Can I eat yam?,250,"The Low Carb Program looks to stay away from tubers like yam as when consumed, theyre still broken down into sugar and will spike your blood glucose levels in the same way as table sugar."
Can I eat yuca?,251,"The Low Carb Program looks to stay away from tubers like yuca as when consumed, theyre still broken down into sugar and will spike your blood glucose levels in the same way as table sugar."
Can I eat Chinese yam?,252,"The Low Carb Program looks to stay away from tubers like Chinese yam as when consumed, theyre still broken down into sugar and will spike your blood glucose levels in the same way as table sugar."
Can I eat crisps?,253,"The Low Carb Program looks to stay away from snacks like crisps as when consumed, theyre still broken down into sugar and will spike your blood glucose levels in the same way as table sugar."
Can I eat cake?,254,The Low Carb Program looks to stay away from store brought cakes as they’re full of sugar and when metabolised will spike your blood glucose levels.
Are there any low carb cakes?,255,"Using Coconut or almond flour, sweeteners, eggs and unsweetened cocoa powder you can make a delicious low carb cake. For more ideas, the diabetes recipe app contains lots of low carb desserts, with new ones added every week. This is an excellent app and is tailored to your diet allowing you to search for recipes by ingredient, meal type, carb content and even save your favourites and rate your recipes. There are also a variety of recipe books available to access for free from the download section of the app or online. The recommended recipes are set up in a way that allows you the freedom to eat these delicious meals without consuming more than 120-150g of carbs per day. Some recipes are relatively carb free whilst others allow you to enjoy within moderation, if you wish to stay on the lower end of the carb consumption spectrum there are many desserts that contain less than 40 carbs per serving."
Can I eat biscuits,256,The Low Carb Program looks to stay away from store brought biscuits as they’re full of sugar and when metabolised will spike your blood glucose levels.
Are there any low carb biscuits?,257,"Using almond flour, stevia (or your sweetener of choice), eggs, ghee and some baking soda you can make some delicious low carb biscuits. For more info, the diabetes recipe app contains lots of low carb desserts, with new ones added every week. This is an excellent app and is tailored to your diet allowing you to search for recipes by ingredient, meal type, carb content and even save your favourites and rate your recipes. There are also a variety of recipe books available to access for free from the download section of the app or online. The recommended recipes are set up in a way that allows you the freedom to eat these delicious meals without consuming more than 120-150g of carbs per day. Some recipes are relatively carb free whilst others allow you to enjoy within moderation, if you wish to stay on the lower end of the carb consumption spectrum there are many desserts that contain less than 40 carbs per serving."
Can I eat cheesecake?,258,The Low Carb Program looks to stay away from store brought cheesecake as it’s full of sugar and when metabolised will spike your blood glucose levels.
