ID,ANSWER,AnswerAdjectives,AnswerEntities,AnswerNouns,Answerfirstsent,CLASS,QUESTION,QuestionsAdjectives,QuestionsEntities,QuestionsNouns
203,"Simply out stress is a state of emotional strain or tension that occurs when we feel that we can’t cope with pressure. When we become stressed the body quickly responds by releasing hormones that give cells access to stored energy - fat and glucose - to help the body get away from danger. This instinctive physiological response to perceived threats is known as the """"fight-freeze or flight"""" response. Over time both physical and mental stress can wear us down mentally and lead to depression and other mental health issues.""",['emotional'],"['state', 'stress', 'tension', 'strain', 'pressure']","['stress', 'state', 'strain', 'tension', 'pressure']",simply out stress is a state of emotional strain or tension that occurs when we feel that we can’t cope with pressure.,informationanddefinition,What is stress?,[],['stress'],['stress']
204,"We live in a very stressful society which is constantly putting us under pressure. This pressure can sometimes be too much to handle leading us to feel """"stressed out"""". This everyday feeling can be caused by simple things such as: Work Pressure Marriage and relationships Parenting/children Health problems such as diabetes Financial insecurity Traffic.""",['stressful'],"['society', 'pressure']","['society', 'pressure']",we live in a very stressful society which is constantly putting us under pressure.,cause,What can cause stress?,[],['stress'],['stress']
205,"It is widely recognised that people with diabetes are who regularly stressed are more likely to have poor blood glucose control. One of the reasons for this is that stress hormones such as cortisol increase the amount of sugar in our blood. High levels of cortisol can lead to conditions such as Cushing’s syndrome which is one of the lesser known causes of diabetes. Constant stress and frustration caused by long term problems with blood glucose regulation can also wear people down and cause them to neglect their diabetes care. For example they may start to ignore their blood sugar levels or simply forget to check them or they may adopt poor lifestyle habits such as exercising less eating more ‘junk’ and processed foods drinking more alcohol and smoking. This is known as diabetes burnout. While stress alters blood sugar levels the extent of its impact varies from person to person. Studies into the effects of stress on glucose levels in humans have shown that mental or psychological stress causes a rise in glucose levels in people with type 2 diabetes and in most type 1 diabetics although levels can drop in some individuals with type 1. Physical stress such as illness or injury almost always causes blood sugar levels to elevate in people with either type of diabetes.""","['likely', 'poor']","['people', 'diabetes', 'blood glucose control']","['people', 'diabetes', 'blood', 'glucose', 'control']",it is widely recognised that people with diabetes are who regularly stressed are more likely to have poor blood glucose control.,complications,How does stress affect my diabetes?,[],"['stress', 'diabetes']","['stress', 'diabetes']"
206,"A simple way to do this is to rate your stress level on a scale of 1 to 10 every time you test your blood sugar levels. Make a note of this number and next to it write down your glucose reading. By doing this consistently for a few weeks a pattern should emerge that allows you to see whether high levels of stress coincide with high glucose levels or vice versa.""",['simple'],"['way', 'stress level', 'scale', 'blood sugar levels']","['way', 'stress', 'level', 'scale', 'time', 'blood', 'sugar', 'levels']",a simple way to do this is to rate your stress level on a scale of 1 to 10 every time you test your blood sugar levels.,"complications
",How do I know whether stress is affecting my glycemic control?,['glycemic'],"['stress', 'control']","['stress', 'control']"
207,"The fight-freeze or flight response is an evolutionary coping mechanism enabling us to deal with threats and stressful situations. When confronted by a threat hormones are released that help us get ready to either fight the threat or fuel a quick escape. There is an increase in glucose for energy increased blood pressure to take fresh oxygen to working muscles and the release of adrenalin for heightened vigilance and alertness. The """"freeze"""" factor has been introduced in recent years as theories have been put forward as to why people sometimes """"freeze"""" in a hopeless shocking situation. It is possible that this ‘rabbit in headlights’ reaction is similar to playing dead which could have helped our ancestors avoid attacks in the wild. Modern humans have fewer physical threats but when faced with psychological pressures such as getting stuck in traffic the brain and body still behaves in the same manner as when faced with a physical threat (i.e. the fight-freeze or flight response). However in people with diabetes this instinctive response does not work as well. Insulin is needed to get stored energy (glucose) into the body’s cells. But in people who have diabetes this process is hampered as insulin is either not produced (as with type 1 diabetes) or not used effectively (type 2 diabetes) resulting in the build-up of excess glucose in the bloodstream.""","['evolutionary', 'stressful']","['coping mechanism', 'flight', 'response', 'threats', 'situations']","['fight', 'freeze', 'flight', 'response', 'coping', 'mechanism', 'threats', 'situations']",the fight-freeze or flight response is an evolutionary coping mechanism enabling us to deal with threats and stressful situations.,informationanddefinition,What is the fight-freeze or flight response?,[],"['fight-freeze', 'flight response']","['fight', 'freeze', 'flight', 'response']"
208,"There are a number of ways you can alleviate the feelings of stress. These include: Taking regular exercise or joining a sports team Going on holiday Listening to music Practicing yoga and breathing exercises Mindfulness meditation. The ultimate aim of these exercises/activities is relaxation which is key to controlling stress.""",[],"['number', 'ways', 'stress', 'feelings']","['number', 'ways', 'feelings', 'stress']",there are a number of ways you can alleviate the feelings of stress.,informationanddefinition,How can I combat stress?,[],['stress'],['stress']
209,"Research studies including one from Maastricht University in 2000 show that physical activity can increase insulin sensitivity and help to lower blood glucose levels as well as burn calories. In the UK the NHS advise to build up to 150 minutes of aerobic activity such as jogging or brisk walking each week. Moving your body through a wide range of motions can also give the mind a rest from the pressures of everyday life. Some people find this relaxing as the mind is preoccupied with exercising rather than worrying about any problems in life.""","['maastricht', 'physical']","['research studies', 'one', 'activity', 'insulin sensitivity', 'maastricht university', 'blood glucose levels', 'burn calories']","['research', 'studies', 'university', 'activity', 'insulin', 'sensitivity', 'blood', 'glucose', 'levels', 'burn', 'calories']",research studies including one from maastricht university in 2000 show that physical activity can increase insulin sensitivity and help to lower blood glucose levels as well as burn calories.,management,How does exercise help with stress?,[],"['exercise', 'stress']","['exercise', 'stress']"
210,"Mindfulness meditation is the art of becoming aware of our present moment experiences including thoughts emotions and sensations in a non-judgemental and accepting manner. Mindfulness meditation courses have been shown to significantly reduce stress anxiety and panic attacks in people who are diagnosed with chronic stress and anxiety disorders such as Seasonal Anxiety Disorder (SAD). Specifically research studies have also shown that mindfulness can help people who have diabetes improve their blood glucose control reduce their blood pressure and enhance their overall quality of life. The research suggests that by simply accepting or acknowledging destructive emotions in a non-judgemental way as opposed to suppressing them or trying to change them people with diabetes are able to better regulate their blood glucose levels and cope with the mental strain of constantly treating themselves.""","['aware', 'present', 'non-judgemental', 'accepting']","['mindfulness meditation', 'experiences', 'thoughts', 'emotions', 'manner', 'sensations']","['mindfulness', 'meditation', 'art', 'moment', 'experiences', 'thoughts', 'emotions', 'sensations', 'manner']",mindfulness meditation is the art of becoming aware of our present moment experiences including thoughts emotions and sensations in a non-judgemental and accepting manner.,informationanddefinition,How does mindfulness meditation alleviate stress?,[],"['mindfulness meditation', 'stress']","['mindfulness', 'meditation', 'stress']"
211,"A screening test determines whether a person has diabetes and how serious it is. Depending on where you are and what your circumstances are the screening test will vary. Random blood glucose tests - commonly used to test for type 1 diabetes Urine glucose test Fasting plasma glucose tests (FPG tests) HbA1c test Oral glucose tolerance tests.Additional diagnostic tests such as urine ketone tests GAD autoantibodies tests or C-peptide tests may also be used as part of the diagnosis to distinguish between type 1 and type 2 diabetes. For adults aged between 40 and 50 screening should be considered. For people who have higher risk factors (ethnicity family history obesity) screening should be conducted beforehand. Measuring hemoglobin A1c (HbA1c) can help diagnose cases of prediabetes and type 2 diabetes. According to diagnostic guidelines set out by the World Health Organisation (WHO) a HbA1c value of: 6% (below 42 mmol/mol) is considered non-diabetic 6-6.4% (42 to 47 mmol/mol) indicates impaired fasting glucose regulation and is considered prediabetes 6.5% or more (48 mmol/mol and above) indicates the presence of type 2 diabetes. Diabetes screening is strongly recommended for adults aged between 40 and 50 years or earlier for any adults with one or more risk factors (ethnicity family history obesity etc).""",['serious'],"['screening test', 'person', 'diabetes']","['screening', 'test', 'person', 'diabetes']",a screening test determines whether a person has diabetes and how serious it is.,diagnosis,What is a diabetes screening test?,[],['diabetes screening test'],"['diabetes', 'screening', 'test']"
212,"A number of medical conditions are often associated with diabetes and when they are discovered patients should be screened for the disease. These conditions include (alongside others): High blood pressure Elevated cholesterol levels Coronary artery disease Prior gestational diabetes Polycystic ovary syndrome Chronic pancreatitis Fatty liver Haemochromatosis Cystic fibrosis Mitochondrial neuropathies and myopathies Myotonic dystrophy Friedreich’s ataxia Inherited forms of neonatal hyperinsulinism.""",['medical'],"['conditions', 'number', 'diabetes', 'disease', 'patients']","['number', 'conditions', 'diabetes', 'patients', 'disease']",a number of medical conditions are often associated with diabetes and when they are discovered patients should be screened for the disease.,informationanddefinition,What kind of conditions are usually related to diabetes?,[],"['kind', 'conditions', 'diabetes']","['kind', 'conditions', 'diabetes']"
213,"This is a contentious issue but the risk of developing diabetes is regarded as being greater following the chronic use of some medications. These include high-level doses of glucocortinoids chemotherapy agents antipsychotics and mood stabilisers.""","['contentious', 'greater', 'chronic']","['issue', 'diabetes', 'risk', 'use', 'medications']","['issue', 'risk', 'diabetes', 'use', 'medications']",this is a contentious issue but the risk of developing diabetes is regarded as being greater following the chronic use of some medications.,cause,Can some drugs cause diabetes?,[],"['drugs', 'diabetes']","['drugs', 'diabetes']"
214,"Diabetes diagnosis often occurs when a person is suffering from a problem known to be caused by diabetes. The type of problems leading to this conclusion include heart attacks strokes neuropathy failure of wounds to heal properly foot ulcers eye problems fungal infections and giving birth to a child with hypoglycaemia.""",[],"['diabetes diagnosis', 'person', 'problem', 'diabetes']","['diabetes', 'diagnosis', 'person', 'problem', 'diabetes']",diabetes diagnosis often occurs when a person is suffering from a problem known to be caused by diabetes.,manifestation,What kind of problems could indicate diabetes?,[],"['kind', 'problems', 'diabetes']","['kind', 'problems', 'diabetes']"
215,"There are a number of different types of diabetes drugs - with some having similar ways of acting. Drugs which act similarly to each other are put into the same class of drugs. Below is a list of the most common diabetes drug classes an A-Z of all diabetes drugs how they work who they are for and which medications fall into these drug classes.""","['different', 'similar']","['number', 'diabetes drugs', 'types', 'ways']","['number', 'types', 'diabetes', 'drugs', 'ways']",there are a number of different types of diabetes drugs - with some having similar ways of acting.,management,what are Diabetes Drugs?,[],['Diabetes Drugs'],"['Diabetes', 'Drugs']"
216,"Insulin is a hormone which helps to regulate blood sugar. A number of different types of insulin are available as medication with some insulins acting for as long as a day and others acting for only a few hours. However insulin is prescribed for people with type 1 diabetes and for people with type 2 diabetes who have not responded so well on oral medication (tablets).""",[],"['insulin', 'blood sugar']","['insulin', 'hormone', 'blood', 'sugar']",insulin is a hormone which helps to regulate blood sugar.,management,Diabetes Drugs:what is Insulin?,[],"['Diabetes Drugs', 'Insulin']","['Diabetes', 'Drugs', 'Insulin']"
217,"The only available diabetes medication in the biguanides class of drugs is metformin. Biguanides prevent the liver from producing glucose and helps to improve the body’s sensitivity towards insulin. Metformin is commonly used as a first line treatment for type 2 diabetes and may occasionally be prescribed in combination with insulin for people with type 1 diabetes.""","['available', 'biguanides']","['diabetes medication', 'class', 'drugs']","['diabetes', 'medication', 'class', 'drugs', 'metformin']",the only available diabetes medication in the biguanides class of drugs is metformin.,management,Diabetes Drugs: what are Biguanides / Metformin?,[],"['Diabetes Drugs', 'Metformin', 'Biguanides']","['Diabetes', 'Drugs', 'Biguanides', 'Metformin']"
218,"Sulphonylureas are the class of antidiabetic drug for type 2 diabetes that tends to include those drugs which end in ‘ide’. The following drugs are all in the sulphonylureas class (branded names in brackets): Glibenclamide –also known as Glyburide (Daonil) Glipizide (Glucotrol) Gliquidone (Glurenorm) Glyclopyramide (Deamelin-S) Glimepiride (Amaryl) Gliclazide (Diamicron) Sulphonylureas work by increasing the amount of insulin the pancreas produces and increasing the working effectiveness of insulin. The mode of action of sulphonylureas means that hypoglycemia and weight gain can be relatively common side effects.""",['antidiabetic'],"['class', 'sulphonylureas', 'drug', 'drugs', 'type 2 diabetes']","['sulphonylureas', 'class', 'drug', 'type', 'diabetes', 'drugs', 'ide']",sulphonylureas are the class of antidiabetic drug for type 2 diabetes that tends to include those drugs which end in ‘ide’.,management,Diabetes Drugs: what are Sulphonylureas?,[],"['Diabetes Drugs', 'Sulphonylureas']","['Diabetes', 'Drugs', 'Sulphonylureas']"
219,"The glinides are a class of drug which have a similar response as sulphonylureas but act for a shorter time. Meglitinides are prescribed to be taken by people with type 2 diabetes within half an hour before eating. As the drugs act for a shorter period than sulphonylureas the side effects of hypoglycemia and weight gain have a smaller likelihood.Examples of prandial glucose regulators are (brand names in brackets): Repaglinide (Prandin) Nateglinide (Starlix).""","['similar', 'shorter']","['class', 'glinides', 'drug', 'response', 'sulphonylureas']","['glinides', 'class', 'drug', 'response', 'sulphonylureas', 'time']",the glinides are a class of drug which have a similar response as sulphonylureas but act for a shorter time.,management,Diabetes Drugs: what are Meglitinides / Prandial glucose regulator / Glinides?,[],"['Diabetes Drugs', 'Meglitinides', 'Prandial', 'glucose regulator']","['Diabetes', 'Drugs', 'Meglitinides', 'Prandial', 'glucose', 'regulator', 'Glinides']"
220,"Alpha-glucosidase inhibitors such as acarbose (marketed as Precose or Glucobay) or miglitol (branded as Glyset) are drugs for type 2 diabetes which slow down the digestion of carbohydrates in the small intestine and therefore can help to reduce after meal blood sugar levels.""","['such', 'small']","['alpha-glucosidase', 'acarbose', 'drugs', 'precose', 'miglitol', 'diabetes', 'digestion', 'glyset', 'blood sugar', 'carbohydrates', 'intestine']","['alpha', 'glucosidase', 'inhibitors', 'acarbose', 'precose', 'glucobay', 'miglitol', 'drugs', 'type', 'diabetes', 'digestion', 'carbohydrates', 'intestine', 'meal', 'blood', 'sugar', 'levels.']","alpha-glucosidase inhibitors such as acarbose (marketed as precose or glucobay) or miglitol (branded as glyset) are drugs for type 2 diabetes which slow down the digestion of carbohydrates in the small intestine and therefore can help to reduce after meal blood sugar levels.""",management,Diabetes Drugs: what are Alpha-glucosidase inhibitors?,[],"['Diabetes Drugs', 'inhibitors']","['Diabetes', 'Drugs', 'Alpha', 'glucosidase', 'inhibitors']"
221,"Thiazolidinediones also known as glitazones are a medication for type 2 diabetes which help to improve insulin sensitivity and have been found to help decrease triglyceride levels. However these have recently been in public spotlight as questions over their long term safety. In September 2010 the most popularly prescribed drug in this class rosiglitazone (Avandia) was banned for use by the European medicines Agency over heart attack concerns. Pioglitazone (Actos) has also made the news in connection with instances of bladder cancer however the danger has not been deemed sufficient to need to ban the drug in the UK.""",[],"['type 2 diabetes', 'thiazolidinediones', 'medication', 'glitazones', 'insulin sensitivity', 'triglyceride levels']","['thiazolidinediones', 'glitazones', 'medication', 'type', 'diabetes', 'insulin', 'sensitivity', 'triglyceride', 'levels']",thiazolidinediones also known as glitazones are a medication for type 2 diabetes which help to improve insulin sensitivity and have been found to help decrease triglyceride levels.,management,Diabetes Drugs: what are Thiazolidinedione / Glitazones?,[],"['Diabetes Drugs', 'Glitazones', 'Thiazolidinedione']","['Diabetes', 'Drugs', 'Thiazolidinedione', 'Glitazones']"
222,"DPP-4 inhibitors also known as gliptins are a class of drug which help to stimulate the production of insulin and reduce the production of glucagon particularly during digestion. DPP-4 inhibitors are usually prescribed for people with type 2 diabetes who have not responded well to drugs such as metformin and sulphonylureas. This drug class includes following medications (trade names in brackets): Linagliptin (Tradjenta) Saxagliptin (Onglyza) Sitagliptin (Januvia) Vildagliptin (Galvus).""",[],"['class', 'gliptins', 'production', 'drug', 'production', 'glucagon', 'digestion', 'insulin']","['dpp', 'inhibitors', 'gliptins', 'class', 'drug', 'production', 'insulin', 'production', 'glucagon', 'digestion']",dpp-4 inhibitors also known as gliptins are a class of drug which help to stimulate the production of insulin and reduce the production of glucagon particularly during digestion.,management,Diabetes Drugs: what are DPP-4 inhibitors / Gliptins?,[],"['Diabetes Drugs', 'Gliptins']","['Diabetes', 'Drugs', 'DPP', 'inhibitors', 'Gliptins']"
223,"Incretin mimetics also known as GLP-1 analogues are an injectable treatment for type 2 diabetes. Incretin mimetics look to mimic the effect of a group of hormones called incretins which increase the production of insulin and decrease the release of glucagon in a relatively similar way DPP-4 inhibitors. This is not a coincidence as the way DPP-4 inhibitors work is to prevent the protein dipeptidyl peptidase-4 from destroying the incretin hormones. GLP-1 analogues have been found to be particularly effective in helping to improve blood glucose levels and helping with weight loss. The following GLP-1 analogues are prescribed in the UK (branded names in brackets): Dulaglutide (Trulicity) Exenatide (Byetta) Liraglutide (Victoza) Lixisenatide (Lyxumia).""",['injectable'],"['incretin mimetics', 'analogues', 'diabetes', 'treatment']","['incretin', 'mimetics', 'glp', 'analogues', 'treatment', 'type', 'diabetes']",incretin mimetics also known as glp-1 analogues are an injectable treatment for type 2 diabetes.,management,Diabetes Drugs: what are Incretin mimetics / GLP-1 analogues?,['Incretin'],"['Diabetes Drugs', 'mimetics', 'analogues', 'GLP-1']","['Diabetes', 'Drugs', 'mimetics', 'GLP', 'analogues']"
224,"Amylin is a hormone produced by the pancreas and released at the same time as insulin but in much smaller quantities (about 1% compared with insulin). Amylin helps to suppress glucagon release and therefore reduce post meal blood glucose levels. Pramlintide acetate (marketed as Symlin) is available in the US as an injectable drug for the treatment of both type 1 and type 2 diabetes. The use of amylin with insulin can carry an increased chance of hypoglycemia.""","['same', 'smaller']","['hormone', 'pancreas', 'insulin', 'insulin', 'quantities']","['amylin', 'hormone', 'pancreas', 'time', 'insulin', 'quantities', '%', 'insulin']",amylin is a hormone produced by the pancreas and released at the same time as insulin but in much smaller quantities (about 1% compared with insulin).,management,Diabetes Drugs: what are Amylin analogues?,[],"['Diabetes Drugs', 'Amylin']","['Diabetes', 'Drugs', 'Amylin', 'analogues']"
225,Explore the 50+ diabetes drugs available in the UK and worldwide (including those discontinued in the UK): http://www.diabetes.co.uk/Diabetes-drugs.html,['available'],"['uk', 'diabetes drugs', 'http://www.diabetes.co.uk/diabetes-drugs.html']","['diabetes', 'drugs', 'uk', 'uk']",explore the 50+ diabetes drugs available in the uk and worldwide (including those discontinued in the uk): http://www.diabetes.co.uk/diabetes-drugs.html,management,can I have a list of A-Z of diabetes drugs?,[],"['list', 'A-Z', 'diabetes drugs']","['list', 'A-Z', 'diabetes', 'drugs']"
226,"Causes of ED are extremely complex and are based around changes that occur to the body over time affecting nerve muscle and blood vessel functions. In order to obtain an erection men need to have healthy blood vessels nerves male hormones and a desire to have sex. Without blood vessels and nerves that control erection ED can still occur despite a desire to have sex and normal male hormones.""",['complex'],"['ed', 'causes', 'changes', 'body', 'nerve muscle', 'blood vessel functions']","['causes', 'ed', 'changes', 'body', 'time', 'nerve', 'muscle', 'blood', 'vessel', 'functions']",causes of ed are extremely complex and are based around changes that occur to the body over time affecting nerve muscle and blood vessel functions.,cause,What causes erectile dysfunction amongst diabetics?,['erectile'],"['erectile dysfunction', 'diabetics']","['dysfunction', 'diabetics']"
227,"Erectile dysfunction is diagnosed using several different methods. Patient history often informs the degree and nature of the ED. Medical and sexual past often has an influence as does prescription or illegal drug use. ED patients may be physically examined and bodily features can give clues to the cause. Laboratory tests can also be key for diagnosing ED. Further tests such as monitoring nocturnal erection (nocturnal penile tumescence) can help to cancel some causes out. Furthermore psychological examination can reveal psychological factors.""","['erectile', 'several', 'different']","['erectile dysfunction', 'methods']","['dysfunction', 'methods']",erectile dysfunction is diagnosed using several different methods.,diagnosis,How is ED diagnosed?,[],['ED'],['ED']
228,"Men who have diabetes and are having trouble achieving or maintaining an erection can take oral medicine. The NHS can provide the following medications on prescription for men with diabetes: Brand names include: Viagra, Cialis, Levitra. However, these medicines can all affect the heart rate, and detailed consultation with your doctor is necessary to determine the best course of action. Additional treatments include intracavernous injection therapy, vacuum constriction devices, intraurethral therapy and sex therapy. Psychotherapy can have an enormous influence on erectile dysfunction. Further treatment such as surgery and vacuum devices may also have a role to play in some specific cases.",['oral'],"['men', 'diabetes', 'trouble', 'medicine', 'erection']","['men', 'diabetes', 'trouble', 'erection', 'medicine']",men who have diabetes and are having trouble achieving or maintaining an erection can take oral medicine.,management,Are there treatments for men with diabetes and erectile dysfunction?,['erectile'],"['treatments', 'men', 'diabetes', 'erectile dysfunction']","['treatments', 'men', 'diabetes', 'dysfunction']"
229,Prediabetes is indicated by the presence of blood glucose levels higher than normal but not high enough to be classed as diabetes.,"['higher', 'normal', 'high']","['prediabetes', 'presence', 'blood glucose levels', 'diabetes']","['prediabetes', 'presence', 'blood', 'glucose', 'levels', 'diabetes']",prediabetes is indicated by the presence of blood glucose levels higher than normal but not high enough to be classed as diabetes.,informationanddefinition,What is prediabetes?,[],['prediabetes'],['prediabetes']
230,"There is an ever-growing amount of scientific literature relating stress and blood glucose levels. When stressed, the parasympathetic nervous system releases a slew of hormones that work to help you get through stressful situations. Evolutionary, this stress response would be the result of immediate danger to your life, thus these hormones work to increase heart rate, increase blood vessel diameter, reduce saliva production, reroute blood from the digestive organs to the muscles (slowing down digestion) and most importantly, convert glycogen to glucose for immediate use. Considering the stressful society we live in it can be asserted that these hormones that should be released to help keep us safe from predators are now actually damaging our health by increasing blood glucose levels when they do not need to be raised. Stress reduction techniques are invaluable for people that have to monitor their blood glucose levels. Simple stress alleviation techniques include regular exercise, listening to calming music or practising yoga/breathing exercises.",['scientific'],"['amount', 'literature', 'blood glucose levels', 'stress']","['amount', 'literature', 'stress', 'blood', 'glucose', 'levels']",there is an ever-growing amount of scientific literature relating stress and blood glucose levels.,informationanddefinition,Does stress impact blood sugar levels?,[],"['stress', 'blood sugar levels']","['stress', 'blood', 'sugar', 'levels']"
231,"The Low Carb Program guidelines are set at around 120-150 g of carbs per day. However, if you feel like going lower it’s not only safe, we encourage it!",['low'],"['program guidelines', 'carbs']","['carb', 'program', 'guidelines', 'g', 'carbs', 'day']",the low carb program guidelines are set at around 120-150 g of carbs per day.,informationanddefinition,How many carbs can I eat on the Low Carb Program?,['many'],"['carbs', 'Low Carb Program']","['carbs', 'Low', 'Carb', 'Program']"
232,"If you have to make the choice between the sugary and sugar-free version it is better to take the sugar-free version. Generally speaking though, the low carb program looks to stay away from sugar-free diet drinks. This is as they have been shown to increase caloric intake and also make it more difficult for you to reset your palate and become accustomed to the more subtly sweet tastes of natural foods. Many low carbers, including myself, enjoy refreshing sugar-free drinks like carbonated water with slices of lemon and lime.","['sugary', 'free', 'better', 'free']","['version', 'choice', 'version']","['choice', 'sugar', 'version', 'sugar', 'version']",if you have to make the choice between the sugary and sugar-free version it is better to take the sugar-free version.,informationanddefinition,Can I drink sugar free diet drinks?,['free'],['diet drinks'],"['sugar', 'diet', 'drinks']"
233,"The Low Carb Program is a safe and effective way for people to treat their diabetes. Naturally, when you lower your carbohydrate and sugar intake, your blood glucose levels go down. Thus, your insulin injection doses should also decrease. Although I can’t give you any specific dosage information, frequently testing your blood sugar will help you to gain an understanding of how much insulin you need. Of course, these changes to your medication should be made in collaboration with your GP or diabetes nurse.","['low', 'safe', 'effective']","['program', 'people', 'diabetes']","['carb', 'program', 'way', 'people', 'diabetes']",the low carb program is a safe and effective way for people to treat their diabetes.,informationanddefinition,Can I come off insulin?,[],['insulin'],['insulin']
234,"One of the less appreciated techniques for living with diabetes is eating to your meter. This involves a process of trial and error with different types of foods and eventually results in an in-depth knowledge of your bodies response to certain foods. Using this technique will essentially teach you how specific foods will impact your blood glucose level and to what extent you should be eating them. To use this technique simply find a food item that you want to eat, but are unsure about. After consuming a small amount of said food, proceed to check your blood glucose levels. If theyre within a good range, at a later date eat a slightly larger portion and check again. Repeat this process until you eat an amount that raises your blood glucose higher than you deem acceptable. At this point, you have found the threshold amount of food you can eat without it raising your blood glucose level.",['appreciated'],"['one', 'techniques', 'diabetes', 'meter']","['techniques', 'diabetes', 'meter']",one of the less appreciated techniques for living with diabetes is eating to your meter.,informationanddefinition,How do I eat to my meter?,[],['meter'],['meter']
235,"Fibre is a type of complex carbohydrate that can’t be digested in the human body. As it can’t be digested, it has no impact on blood sugar levels.","['complex', 'human']","['fibre', 'carbohydrate', 'human body']","['fibre', 'type', 'carbohydrate', 'body']",fibre is a type of complex carbohydrate that can’t be digested in the human body.,management,What is fibre and should I avoid it?,[],['fibre'],['fibre']
236,"Firstly, there is nothing to worry about, this is a very common occurrence in people with type 2 and is usually caused by what is known as dawn phenomenon. This occurrence is a result of hormone release during the night. Whilst asleep, our bodies secrete growth hormone and cortisol (two common hormones) which signal to the liver to release glucose. This is to ensure you have enough glucose in the morning and dont wake up with a hypo. However, it is not always certain that dawn phenomenon is the reason for your high blood glucose levels. If you wish to learn more about dawn phenomenon DCuk has covered this topic in more detail, just follow the link below. http://www.diabetes.co.uk/blood-glucose/dawn-phenomenon.html",['common'],"['occurrence', 'people', 'dawn phenomenon']","['nothing', 'occurrence', 'people', 'type', 'dawn', 'phenomenon']","firstly, there is nothing to worry about, this is a very common occurrence in people with type 2 and is usually caused by what is known as dawn phenomenon.",informationanddefinition,Why are my blood glucose levels high in the morning when I’m fasted?,['high'],['blood glucose levels'],"['blood', 'glucose', 'levels', 'morning']"
237,"Start by watching the weekly program lessons, answering the questions to test your knowledge and then following the action points for the week. You can start to track your weight loss, blood pressure, blood glucose, HbA1c, cholesterol levels and any other metrics you feel are noteworthy on the dashboard. This is helpful as it will give you a visible guide of your progress and will make your goals feel much more achievable. In terms of what you should actually eat, it will all be covered in the weekly videos, but for a quick overview you should be cutting sugar out or at least down to very low levels. That means cutting out things like chocolate, cake, ice-cream, and sugary drinks. Also looking to decrease carbohydrate consumption to under 150g per day. That means cutting back on starchy foods like pasta, rice, bread, potato, pastries, cereal and crisps. Look instead to eat fresh vegetables and increase your healthy fat consumption by eating cuts of meat, fish, dairy (excluding milk) seeds, nuts, avocado and olives/olive oil. For cooking try using butter, lard or coconut oils. There are a variety of recipe books available to access for free from the download section of the app or online. The recommended recipes are set up in a way that allows you the freedom to eat these delicious meals without consuming more than 120-150g of carbs per day. Some recipes are relatively carb free whilst others allow you to enjoy within moderation, if you wish to stay on the lower end of the carb consumption spectrum there are many recipes that contain less than 10 carbs per serving. This may seem like a lot to take in, but the program is designed to introduce you slowly.",['weekly'],"['program lessons', 'questions', 'knowledge', 'action points']","['start', 'program', 'lessons', 'questions', 'knowledge', 'action', 'points', 'week']","start by watching the weekly program lessons, answering the questions to test your knowledge and then following the action points for the week.",informationanddefinition,How do I get started on the program?,[],['program'],['program']
238,"Much to the dismay of juice lovers worldwide, fruit juice can contain even more sugar than the whopping 50 g of sugar present in fizzy drinks. For this reason, fruit juices should be avoided where possible. Like with fizzy drinks, you should think of fruit juice as sugary water.","['much', 'more', 'whopping', 'present', 'fizzy']","['dismay', 'fruit juice', 'juice lovers', 'sugar', 'sugar', 'drinks']","['dismay', 'juice', 'lovers', 'fruit', 'juice', 'sugar', 'g', 'sugar', 'drinks']","much to the dismay of juice lovers worldwide, fruit juice can contain even more sugar than the whopping 50 g of sugar present in fizzy drinks.",informationanddefinition,Can I drink fruit juice?,[],['fruit juice'],"['fruit', 'juice']"
239,"There are lots of delicious low carb snacks that you can eat whenever you’re feeling peckish. I personally enjoy slices of cheese and olives, nuts, eggs and cold cuts of meat. For a more comprehensive list of snacks, both savoury and sweet, There are a variety of recipes available to access for free from the download section of the app or online.","['delicious', 'low', 'peckish']","['lots', 'snacks']","['lots', 'carb', 'snacks']",there are lots of delicious low carb snacks that you can eat whenever you’re feeling peckish.,informationanddefinition,What snacks can I eat?,[],['snacks'],['snacks']
240,"Glucagon is a hormone created in the pancreas which helps to regulate blood sugar. Thought of as the opposite of insulin, glucagon works to raise blood sugar concentrations.",[],"['glucagon', 'pancreas', 'blood sugar']","['glucagon', 'hormone', 'pancreas', 'blood', 'sugar']",glucagon is a hormone created in the pancreas which helps to regulate blood sugar.,informationanddefinition,What is glucagon?,[],['glucagon'],['glucagon']
241,Any assortment of roasted or pan-fried vegetables in coconut oil is delicious. I also enjoy smoked salmon wrapped in cucumber slices with some cream cheese as a light breakfast. For more egg free breakfasts feel free to click the link. https://www.diabetes.co.uk/lowcarb/life/favourite-low-carb-breakfasts-without-eggs.,"['roasted', 'pan-fried', 'delicious']","['assortment', 'vegetables', 'coconut oil']","['assortment', 'vegetables', 'coconut', 'oil']",any assortment of roasted or pan-fried vegetables in coconut oil is delicious.,informationanddefinition,What can I have for breakfast that doesn’t involve egg?,[],"['breakfast', 'egg']","['breakfast', 'egg']"
